lat, lon, Styrofoam_Box, Styrofoam_Piece, PET_Bottle, Glass, Metal, Plastic_ETC, Rope
35.163844, 128.031169, 0, 32, 23, 0, 4, 17, 0
35.163980, 128.031250, 0, 14, 13, 0, 2, 5, 0
35.164010, 128.031301, 0, 18, 15, 1, 2, 15, 0
35.164010, 128.031351, 2, 19, 13, 0, 1, 11, 1
35.164042, 128.031344, 0, 27, 16, 0, 0, 12, 0
35.164037, 128.031428, 0, 16, 7, 0, 0, 13, 0
35.164132, 128.031480, 1, 8, 3, 0, 1, 14, 0
35.164155, 128.031489, 1, 6, 4, 0, 0, 10, 0
35.164216, 128.031521, 0, 2, 8, 1, 0, 14, 0
35.164240, 128.031534, 0, 4, 10, 0, 0, 12, 0
35.164294, 128.031583, 0, 10, 10, 1, 2, 14, 0
35.164328, 128.031640, 0, 22, 4, 1, 1, 23, 0
35.164366, 128.031668, 0, 18, 5, 2, 1, 21, 0
35.164394, 128.031717, 0, 12, 4, 0, 1, 18, 0
35.164419, 128.031772, 0, 11, 6, 0, 2, 15, 0
35.164455, 128.031799, 0, 20, 13, 0, 3, 17, 0
35.164494, 128.031821, 0, 21, 13, 0, 1, 17, 0
35.164532, 128.031841, 0, 14, 10, 0, 1, 18, 0
35.164567, 128.031859, 0, 13, 9, 0, 1, 12, 0
35.164592, 128.031872, 0, 12, 8, 0, 4, 14, 0
35.164610, 128.031881, 0, 15, 14, 0, 2, 12, 0
35.164631, 128.031895, 0, 14, 16, 0, 4, 10, 0
35.164659, 128.031914, 0, 21, 7, 0, 2, 10, 0
35.164684, 128.031929, 0, 21, 10, 0, 3, 14, 0
35.164711, 128.031945, 0, 15, 6, 0, 3, 7, 0
35.164744, 128.031960, 1, 15, 5, 0, 1, 10, 0
35.164771, 128.031944, 0, 15, 5, 0, 1, 9, 0
35.164806, 128.031943, 1, 15, 9, 0, 2, 15, 0
35.164843, 128.031953, 1, 13, 8, 0, 4, 21, 0
35.164876, 128.031968, 0, 12, 6, 0, 2, 14, 0
35.164907, 128.031979, 0, 8, 7, 0, 4, 6, 0
35.164949, 128.031991, 0, 7, 9, 0, 0, 11, 2
35.164976, 128.031998, 0, 11, 11, 0, 1, 14, 0
35.165015, 128.032020, 1, 17, 12, 0, 3, 12, 1
35.165056, 128.032072, 2, 16, 11, 0, 2, 7, 0
35.165087, 128.032180, 1, 17, 13, 0, 0, 10, 0
35.165108, 128.032273, 0, 13, 8, 0, 0, 7, 1
